icd_code,n,d,rate
37724,0,1,0.0
37730,0,4,0.0
37732,0,1,0.0
37741,0,1,0.0
37815,0,1,0.0
37830,0,1,0.0
37851,0,1,0.0
37853,0,2,0.0
37854,0,4,0.0
3789,0,1,0.0
37900,0,9,0.0
37919,0,1,0.0
37921,0,23,0.0
37923,0,11,0.0
37924,0,8,0.0
37927,0,1,0.0
37929,0,1,0.0
37941,0,11,0.0
37943,0,5,0.0
37950,0,1,0.0
3798,0,13,0.0
37991,1,129,0.007751937984496124
37992,0,35,0.0
37993,0,13,0.0
37999,0,9,0.0
38001,0,2,0.0
38003,0,1,0.0
38010,1,123,0.008130081300813009
38021,0,1,0.0
38031,0,2,0.0
3804,0,115,0.0
3814,0,4,0.0
38181,0,6,0.0
38200,0,2,0.0
3829,2,177,0.011299435028248588
3839,0,2,0.0
38401,0,2,0.0
38420,0,15,0.0
3849,0,1,0.0
38589,0,4,0.0
38600,0,3,0.0
38610,1,120,0.008333333333333333
38611,0,67,0.0
38612,1,2,0.5
38619,0,1,0.0
38630,1,14,0.07142857142857142
38635,0,1,0.0
38830,1,25,0.04
38861,0,1,0.0
38869,0,2,0.0
38870,1,121,0.008264462809917356
3888,0,6,0.0
38900,0,1,0.0
3898,0,1,0.0
3899,0,4,0.0
3970,0,1,0.0
4010,0,1,0.0
4019,90,4077,0.02207505518763797
40390,0,3,0.0
40391,1,50,0.02
41091,0,2,0.0
4111,1,6,0.16666666666666666
412,0,2,0.0
4139,0,1,0.0
41400,9,224,0.04017857142857143
41401,0,5,0.0
41519,0,11,0.0
4168,0,3,0.0
42090,0,41,0.0
42091,0,4,0.0
4239,0,21,0.0
4240,1,7,0.14285714285714285
4241,0,5,0.0
4243,0,1,0.0
42490,0,1,0.0
42518,0,1,0.0
4254,1,13,0.07692307692307693
4257,0,1,0.0
4259,0,6,0.0
4260,0,1,0.0
42611,0,3,0.0
42612,0,1,0.0
42613,0,3,0.0
4262,0,1,0.0
4263,0,3,0.0
4264,0,1,0.0
4267,0,4,0.0
4270,0,28,0.0
4271,0,6,0.0
42731,14,454,0.030837004405286344
42732,1,34,0.029411764705882353
42741,0,1,0.0
4275,0,17,0.0
42760,0,1,0.0
42761,0,6,0.0
42769,0,16,0.0
42781,0,1,0.0
42789,4,146,0.0273972602739726
4279,0,1,0.0
4280,2,48,0.041666666666666664
4289,0,1,0.0
4290,0,1,0.0
4293,0,3,0.0
42989,0,1,0.0
430,0,3,0.0
431,0,6,0.0
4321,1,17,0.058823529411764705
4329,0,1,0.0
43310,0,3,0.0
43320,0,1,0.0
43491,0,5,0.0
4359,0,5,0.0
4370,0,1,0.0
4371,0,1,0.0
4372,0,1,0.0
4373,0,12,0.0
4375,0,1,0.0
4377,0,5,0.0
44021,1,1,1.0
44100,0,1,0.0
4412,0,5,0.0
4413,0,1,0.0
4414,0,9,0.0
4422,0,1,0.0
44284,0,1,0.0
4430,0,6,0.0
44321,0,2,0.0
44322,0,1,0.0
44324,0,1,0.0
4439,2,16,0.125
44421,0,2,0.0
44422,0,1,0.0
44481,0,1,0.0
44489,0,1,0.0
44502,0,1,0.0
4460,0,1,0.0
4465,0,2,0.0
4474,0,2,0.0
4476,0,1,0.0
4510,0,22,0.0
4512,0,6,0.0
45182,0,20,0.0
45184,0,3,0.0
45189,0,2,0.0
452,0,1,0.0
45340,1,65,0.015384615384615385
45341,2,18,0.1111111111111111
45342,0,46,0.0
45352,0,3,0.0
4536,0,7,0.0
45381,0,9,0.0
45382,0,4,0.0
45383,0,4,0.0
45384,0,2,0.0
45386,0,2,0.0
45389,0,3,0.0
4548,0,15,0.0
4549,0,8,0.0
4550,0,14,0.0
4551,0,2,0.0
4552,0,26,0.0
4553,0,69,0.0
